gene	num_mutations	classification
TP53	3375	TSG
TTN	2841	neither
MUC16	1815	neither
PIK3CA	1290	Oncogene
CSMD3	1238	neither
RYR2	1184	neither
LRP1B	1178	neither
SYNE1	1135	neither
FLG	1041	neither
USH2A	1030	neither
PCLO	983	neither
ZFHX4	955	neither
DNAH5	913	neither
KMT2D	911	neither
OBSCN	897	neither
CSMD1	847	neither
FAT4	842	neither
SPTA1	833	neither
KMT2C	823	neither
FAT3	816	neither
XIRP2	814	neither
HMCN1	810	neither
GPR98	783	neither
RYR1	782	neither
RYR3	782	neither
MUC17	769	neither
ARID1A	754	TSG
NEB	751	neither
PCDH15	747	neither
PKHD1L1	744	neither
APC	733	TSG
PTEN	731	TSG
APOB	724	neither
LRP2	714	neither
DNAH9	707	neither
DNAH8	706	neither
SSPO	704	neither
KRAS	703	Oncogene
ABCA13	697	neither
DMD	692	neither
BRAF	687	Oncogene
AHNAK2	685	neither
DNAH11	680	neither
DNAH7	678	neither
MUC5B	670	neither
CSMD2	660	neither
FAT1	656	neither
XIST	652	neither
COL11A1	631	neither
SYNE2	629	neither
